"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X1.EB28.05.19","X1.EB29.05.19","X1.EB31.05.19","X1.LB28.05.19","X1.LB29.05.19","X1.LB31.05.19","X18KB7065603","X18KB7065604","X18KB7065605","X18KB7065606","X18KB7065607","X18KB7065608","X18KB7065609","X18KB7065610","X18KB7065611","X18KB7065612","X18KB7065613","X18KB7065614","X18KB7065615","X18KB7065616","X18KB7065617","X18KB7065618","X18KB7065619","X18KB7065620","X18KB7065621","X18KB7065622","X18KB7065623","X18KB7065624","X18KB7065625","X18KB7065626","X18KB7065627","X18KB7065628","X18KB7065629","X18KB7065630","X18KB7065631","X18KB7065632","X18KB7065633","X18KB7065634","X18KB7065635","X18KB7065636","X18KB7065637","X18KB7065638","X18KB7065639","X18KB7065640","X18KB7065641","X18KB7065642","X18KB7065644","X19KB5524101","X19KB5524102","X19KB5524103","X19KB5524104","X19KB5524105","X19KB5524106","X19KB5524107","X19KB5524108","X19KB5524109","X19KB5524110","X19KB5524111","X19KB5524112","X19KB5524113","X19KB5524114","X19KB5524115","X19KB5524116","X19KB5524117","X19KB5524118","X19KB5524119","X19KB5524120","X19KB5524121","X19KB5524122","X19KB5524123","X19KB5524124","X19KB5524125","X19KB5524126","X19KB5524127","X19KB5524128","X19KB5524129","X19KB5524130","X19KB5524131","X19KB5524132","X2.EB28.05.19","X2.EB29.05.19","X2.LB28.05.19","X2.LB29.05.19","KPH107","KPH152","PCRblank_B1","PCRblank_D1"
"Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","GL01_000000076",1,0.754285714285714,1807,0,1,15,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,113,0,0,99,46,0,0,1,34,0,2,0,0,103,0,1,2,4,0,0,0,0,1,0,1,0,0,0,9,1116,64,0,0,0,16,0,0,0,0,0,27,1,1,8,7,0,39,0,0,2,0,0,2,0,12,0,43,0,0,10,20,0,0,1,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,"GL01_000611370",0.54639175257732,0.54639175257732,23491,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,16,394,14,0,0,1565,0,67,0,0,30,0,0,2,0,3305,12,0,34,0,1,0,0,0,1383,871,3524,40,1,0,0,0,0,1,401,9,0,1,1,1,35,1,4,150,1,32,0,0,325,1370,0,1346,7213,0,0,0,53,16,648,0,1,1,0,0,0,0,561,54,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Enchelyopus","Enchelyopus cimbrius","GL01_000478934",0.95,0.810810810810811,1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1765,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus muelleri","GL01_000439027",0.959,0.790055248618785,101565,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,4,0,0,0,11,1,1,1,0,7,8,2,1,0,0,0,0,0,1,1,1,58848,0,0,3,1,10,0,42638,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5,1,2,0,0,3,0,1,0,1,0
"Animalia","Chordata","Teleostei","Aulopiformes",NA,NA,NA,"GL01_000113629",0.988,0.819209039548023,34564,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,34543,1,0,0
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GL01_000585622",0.942,0.942528735632184,454889,17,0,0,2,5,0,9,0,0,1,9,3,8,2,2,3,0,30,6,4,1,8,16,2,3,0,6,3,5,0,4,33,4,0,0,25,9,48218,24,14,18146,16773,11,15326,0,8,3479,26,0,31208,20385,1,23936,1390,0,7,3,22,58,133535,15,20491,65904,0,4,28,2,1,2,6,17458,2,0,11,2,22571,4452,10,11111,0,4,5,3,15,1,1,0
"Animalia","Chordata","Teleostei","Gadiformes",NA,NA,NA,"GL01_000016641",0.84375,0.84375,239,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10,3,0,0,0,76,0,0,4,0,0,19,0,0,3,0,0,0,0,44,0,0,35,0,0,0,0,0,0,1,5,0,0,0,0,0,5,0,0,1,0,0,0,4,0,3,0,0,16,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","GL01_000098861",1,0.898876404494382,582266,10,13,1,0,6,18,5,3184,10309,3943,1,4,2,10,0,4,0,5350,2,1,2208,5,1,18,9,21,0,2,4,1,3799,26831,4,5,1,31139,5,4,4674,3,149321,63673,1921,4,1647,6477,5,0,0,52641,45772,4,29048,410,1,3,2417,21,2045,1515,6248,5,1499,0,1,6,3778,6,3,45334,2,8,4,14772,1,5490,17045,12801,21439,2,5,5272,0,14,1,5,3
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","GL01_000079355",0.965,0.954285714285714,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,5,3,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus|Merlangius","Melanogrammus aeglefinus|Merlangius merlangus","GL01_000000007",1,0.994117647058824,45845,4,1,0,1,3,0,0,1,2,0,1,0,0,2,0,3,0,0,0,1,0,6,1,0,1,0,0,0,0,0,0,3,3,0,0,418,0,1,3258,0,19,6,0,0,1,2,0,0,0,4286,4,0,7999,567,1,2,1,5,2986,1,0,0,0,0,0,0,1042,0,2,10,0,9,1,7,0,0,11362,13816,3,0,0,1,0,1,0,1,0
