"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2020611_025","X2020611_026","X2020611_027","X2020611_028","X2020611_029","X2020611_030","X2020611_031","X2020611_032","X2020611_041","X2020611_042","X2020611_043","X2020611_044","X2020611_045","X2020611_047","X2020611_048","X2020611_049","X2020611_050","X2020611_051","X2020611_052","X2020611_053","X2020611_054","X2020611_055","X2020611_056","X2020611_057","X2020611_058","X2020611_059","X2020611_060","X2020611_061","X2020611_062","X2020611_063","X2020611_064","X2020611_082","X2020611_083","X2020611_084","X2020611_085","X2020611_086","X2020611_087","X2020611_088","X2020611_091","X2020611_092","X2020611_093","X2020611_094","X2020611_095","X2020611_096","X2020611_097","X2020611_098","X2020611_099","X2020611_100","X2020611_101","X2020611_102","X2020611_103","X2020611_104","X2020611_105","X2020611_106","X2020611_107","X2020611_108","X2020611_109","X2020611_110","X2020611_111","X2020611_112","X2020611_114","X2020611_115","X2020611_116","X2020611_117","X2020611_118","X2020611_119","X2020611_120","X2020611_123","X2020611_124","X2020611_125","X2020611_126","X2020611_127","X2020611_128","X2020611_46","KPH250","PCRblank_B1","PCRblank_D1"
NA,NA,NA,NA,NA,NA,NA,"GL01_000337820",0.537313432835821,0.537313432835821,1447,0,0,13,13,0,2,0,4,0,0,0,0,7,2,227,0,0,17,14,1,0,19,26,0,0,9,9,8,22,1,3,0,0,0,0,0,2,0,0,49,7,0,0,0,0,0,2,64,0,2,5,0,0,1,0,0,5,1,0,2,0,0,2,4,3,197,501,1,1,78,0,99,6,18,0,0,0
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GL01_000061178",0.994,0.994186046511628,15134,0,0,0,0,0,0,0,0,0,0,231,0,0,0,589,0,0,54,969,0,103,0,336,0,0,2538,1,0,962,0,670,0,0,0,324,0,0,0,0,1196,1297,0,596,1,0,0,0,0,2453,3,0,2,0,0,0,0,0,1,1,0,0,2806,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","GL01_000003475",0.924,0.914285714285714,92,0,0,18,2,0,5,0,0,0,0,4,0,0,0,0,0,0,5,1,0,1,1,0,0,0,5,11,0,1,14,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes",NA,NA,NA,"GL01_000003831",0.848648648648649,0.848648648648649,152,0,0,37,2,0,0,0,0,0,0,0,0,0,2,0,0,0,65,4,0,10,3,4,0,0,10,7,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Ciliata","Ciliata septentrionalis","GL01_000109007",0.994,0.878612716763006,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933,0,0,0,0,0,0,0,231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,63,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","GL01_000000883",0.896174863387978,0.896174863387978,177978,1,0,15203,2455,0,7574,98,1,0,0,12821,8,0,2988,3,0,0,11132,4659,209,18606,5739,889,0,1,12325,14124,0,9510,13080,46,0,2030,20,1,829,1,0,11830,1208,441,1086,167,0,0,0,675,123,509,65,66,327,1,694,1761,2,2,981,4,74,0,2606,4,134,1682,118,2,1,0,0,0,40,1025,17991,0,6,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadiculus","Gadiculus argenteus","GL01_000108857",1,0.88953488372093,13702,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12713,0,0,0,0,0,0,0,0,0,1,979,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus|Merlangius","Melanogrammus aeglefinus|Merlangius merlangus","GL01_000033117",0.948,0.942857142857143,27203,0,0,552,1326,0,251,0,0,0,0,856,0,0,3,1,0,0,189,210,0,210,350,1,0,0,629,310,0,837,408,0,0,272,0,0,30,2,0,10963,1552,0,1094,0,0,0,0,0,2,2,1,0,163,0,3,2098,0,0,848,1,0,0,1958,1,0,1171,0,0,0,0,0,1,0,0,908,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","GL01_000000657",1,0.994117647058824,2557,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius virens","GL01_000000085",1,1,8365,0,0,141,0,0,1,336,0,1,0,1,0,0,1,0,0,0,1,1,363,4,1,0,0,0,0,1,0,220,1,139,0,0,0,0,0,1,0,3474,1,0,235,0,0,0,0,0,221,335,133,180,0,0,1290,3,0,0,82,0,171,0,0,0,411,302,215,0,0,0,0,0,99,0,0,0,0,0
