"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X1EB110521","X1EB140521","X1EB190521","X1EB250521","X1EB280521","X2021607_001","X2021607_002","X2021607_003","X2021607_004","X2021607_005","X2021607_006","X2021607_007","X2021607_008","X2021607_009","X2021607_010","X2021607_011","X2021607_013","X2021607_014","X2021607_015","X2021607_016","X2021607_017","X2021607_018","X2021607_019","X2021607_020","X2021607_021","X2021607_022","X2021607_023","X2021607_024","X2021607_025","X2021607_026","X2021607_027","X2021607_028","X2021607_029","X2021607_030","X2021607_031","X2021607_032","X2021607_033","X2021607_035","X2021607_036","X2021607_037","X2021607_038","X2021607_039","X2021607_040","X2021607_041","X2021607_042","X2021607_043","X2021607_044","X2021607_045","X2021607_046","X2021607_047","X2021607_048","X2021607_049","X2021607_050","X2021607_051","X2021607_052","X2021607_053","X2021607_054","X2021607_055","X2021607_056","X2021607_058","X2021607_059","X2021607_060","X2021607_061","X2021607_062","X2021607_063","X2021607_064","X2021607_065","X2021607_066","X2021607_067","X2021607_068","X2021607_069","X2021607_070","X2021607_071","X2021607_072","X2021607_073","X2021607_074","X2021607_075","X2021607_076","X2021607_077","X2021607_079","X2021607_080","X2021607_081","X2021607_082","X2021607_083","X2021607_084","X2021607_085","X2021607_086","X2021607_087","X2021607_088","X2021607_089","X2021607_090","X2021607_091","X2021607_092","X2021607_093","X2021607_094","X2021607_095","X2021607_096","X2021607_097","X2021607_098","X2021607_099","X2021607_100","X2021607_101","X2021607_102","X2021607_103","X2021607_104","X2021607_105","X2021607_106","X2021607_107","X2021607_108","X2021607_109","X2021607_110","X2021607_254","X2021607_255","X2021607_256","X2021607_257","X2021607_258","X2021607_259","X2021607_260","X2021607_261","X2021607_262","X2021607_263","X2021607_264","X2021607_265","X2021607_266","X2021607_267","X2021607_268","X2021607_269","X2021607_270","X2021607_271","X2021607_272","X2021607_274","X2021607_275","X2021607_276","X2021607_277","X2021607_278","X2021607_279","X2021607_280","X2021607_281","X2021607_282","X2021607_283","X2021607_284","X2021607_285","X2021607_286","X2021607_287","X2021607_288","X2021607_289","X2021607_290","X2021607_291","X2021607_292","X2021607_293","X2021607_294","X2021607_296","X2021607_297","X2021607_298","X2021607_299","X2021607_300","X2021607_301","X2021607_302","X2021607_303","X2021607_304","X2021607_305","X2021607_306","X2021607_307","X2021607_308","X2021607_309","X2021607_310","X2021607_311","X2021607_312","X2021607_313","X2021607_314","X2021607_315","X2021607_316","X2021607_317","X2021607_318","X2021607_319","X2021607_320","X2021607_321","X2021607_322","X2021607_323","X2021607_324","X2021607_325","X2021607_326","X2021607_327","X2EB260521","C_H2O_C06","C_H2O_C07","C_H2O_D01","D_H2O_C06","D_H2O_C07","D_H2O_D01","PC_C","PC_D"
NA,NA,NA,NA,NA,NA,NA,"GG01_000155606",0.875675675675676,0.875675675675676,1493,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,262,0,0,0,0,0,0,77,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,307,0,0,0,0,1,47,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,16,0,1,17,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,24,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,3,1,0,427,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","GG01_000025372",1,0.748571428571429,660,0,1,0,9,0,0,0,0,6,15,1,2,0,4,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,17,0,6,0,0,4,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,13,3,0,0,0,0,0,0,3,0,8,2,1,2,76,0,0,9,2,0,0,61,0,0,0,1,0,0,0,1,0,53,0,0,0,0,0,0,18,0,0,1,0,0,7,9,0,0,31,0,0,1,0,1,0,10,0,5,1,0,3,0,8,9,2,10,4,0,0,1,0,0,28,1,58,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,3,15,0,3,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,4,1
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus muelleri","GG01_000018179",1,0.810344827586207,22075,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4620,0,7192,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,3744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1658,0,0,0,0,4798,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,3,1,1,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,3,0
"Animalia","Chordata","Teleostei","Osmeriformes","Argentinidae","Argentina","Argentina silus","GG01_000001768",1,0.988372093023256,1452,0,0,0,0,0,0,0,1448,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GG01_000081507",0.948,0.948863636363636,480687,1,2,0,0,6,0,2,461,4118,4606,350,2732,6738,2599,2525,3,1,498,9295,3,1517,6,7017,916,5619,4552,1,0,766,9384,20401,2163,2685,4585,4640,13830,5530,1,2878,1967,2468,5290,12892,1329,1,4427,5602,0,0,6466,3699,1698,22,0,12109,0,1140,1193,4,985,5445,734,838,1465,2,9957,216,1582,7,0,12173,5485,4589,3824,9228,3420,9766,7835,4480,1,2806,12536,5735,4624,1976,6240,708,4593,668,4,4,755,5744,10215,1592,5098,5300,3937,5632,2,0,0,956,0,8054,3469,5732,6029,1856,2811,9006,0,0,266,8,2,0,2,1,6,16,2,1,2,1206,0,6,3,6,2,0,3,6,1411,13,1,3,1,0,3,1,0,314,10,13,15,23,2,16,3,25,11,3,14,3,1,0,4,1,16,289,0,2,3,0,2,0,1,3,2,1,1,0,1,8,3,3,3,136,1138,448,3,3,1,10,0,0,6,0,0,52651,43672
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","GG01_000090333",0.926,0.885057471264368,74585,0,0,0,0,0,0,0,936,256,14,991,358,46,393,424,0,0,540,284,0,301,306,94,20,308,41,0,0,66,0,1,159,17,135,228,170,59,0,412,64,3,382,128,20,335,10,15,0,0,1166,405,509,491,131,560,1,577,446,1,757,68,140,105,236,0,1641,221,705,1,0,566,1130,212,161,1402,75,511,960,619,0,284,0,123,83,6,69,269,72,0,0,0,282,1,128,396,118,77,1123,123,98,0,0,391,97,11,230,510,210,627,497,205,0,0,42,723,579,634,683,119,0,2,295,366,305,773,0,279,486,255,219,0,69,9,151,408,72,780,125,240,623,0,0,378,285,876,995,3630,631,1770,1812,451,0,2548,2998,2539,506,3515,3148,2561,3440,781,0,0,152,63,279,193,0,911,1069,372,3,0,0,876,20,6,790,9,192,1030,25,16,0,0,0,2,1,0,0,57,75
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","GG01_000009031",0.992,0.901734104046243,4500115,2,9,1,2,34,1,7,46744,9132,626,50590,10685,2526,16159,27323,1,12,41244,8074,6,18307,16913,6118,6277,6924,2367,1,5,2951,1,21,7586,754,5814,7279,7591,1342,4,13324,3567,3611,14155,11942,804,10045,3224,3533,1,2,45821,14832,20232,15362,8278,25268,0,17139,41084,42,24231,6311,5008,3445,20969,1,50483,9727,28921,11,2,19564,47089,29126,4595,74441,3331,15699,32406,23864,8,11931,75,6175,13332,420,2341,18594,2105,1958,10,6,14231,4,14705,12750,5029,2520,38361,19459,3993,4,2,10783,32354,1576,11993,32356,12873,115587,23331,16887,1,2,3159,31390,16252,44013,30996,7083,1,23,22122,13355,7806,30159,3,20698,33743,17160,22715,12,3986,972,8411,11438,3586,20497,8418,8577,21997,5,32,18742,12317,31630,36545,137747,54718,87752,152364,13150,6,428381,105183,174091,18340,372675,113433,76301,218509,161101,7,17,5820,1643,12047,8940,18,26219,115378,11463,2196,0,11,24610,1756,463,32459,1682,7627,260102,907,838,1,10,1,11,11,0,0,1568,2037
"Animalia","Chordata","Teleostei","Gadiformes",NA,NA,NA,"GG01_000191810",0.854054054054054,0.854054054054054,927,0,0,0,0,0,0,0,35,6,1,32,5,0,3,7,0,0,42,7,0,19,0,0,36,5,0,0,0,3,0,0,1,1,0,10,1,1,0,8,0,0,5,0,0,3,0,0,0,0,13,6,3,18,25,5,0,14,0,0,14,1,3,14,1,0,3,6,25,0,0,4,4,1,0,7,0,3,7,3,0,7,0,0,0,3,0,0,2,0,1,0,5,0,2,35,1,2,12,1,2,0,0,1,0,2,6,3,2,1,2,2,0,0,0,2,2,6,9,4,0,0,1,24,0,5,0,0,3,2,0,0,1,7,0,4,2,5,3,3,8,0,0,33,34,6,27,11,2,17,2,3,0,19,10,33,8,10,8,11,13,0,0,0,11,0,14,1,0,1,6,0,5,0,0,31,9,2,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Raniceps","Raniceps raninus","GG01_000289612",1,0.908045977011494,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Ciliata","Ciliata septentrionalis","GG01_000464260",1,0.883720930232558,3434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,1233,0,0,0,0,0,0,0,0,530,1,0,0,194,1159,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
