"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2019629_10","X2019629_11","X2019629_15","X2019629_16","X2019629_2","X2019629_22","X2019629_25","X2019629_28","X2019629_31","X2019629_32","X2019629_6","X2019629_7","X2020620_02","X2020620_03","X2020620_04","X2020620_05","X2020620_06","X2020620_07","X2020620_08","X2020620_11","X2020620_12","X2020620_13","X2020620_14","X2020620_15","X2020620_16","X2020620_17","X2020620_18","X2020620_19","X2020620_1EB040521","X2020620_20","X2020620_21","X2020620_22","X2020620_23","X2020620_24","X2020620_26","X2020620_27","X2020620_28","X2020620_29","X2020620_30","X2020620_31","X2020620_32","X2020620_3EB040521","X2021607_1EB110521","X2021607_1EB260521","X2021607_1EB280521","X2021607_1LB250521","X2021607_254","X2021607_256","X2021607_257","X2021607_258","X2021607_259","X2021607_260","X2021607_261","X2021607_264","X2021607_265","X2021607_266","X2021607_267","X2021607_268","X2021607_269","X2021607_270","X2021607_271","X2021607_272","X2021607_274","X2021607_275","X2021607_276","X2021607_277","X2021607_278","X2021607_279","X2021607_280","X2021607_281","X2021607_282","X2021607_283","X2021607_285","X2021607_286","X2021607_287","X2021607_288","X2021607_289","X2021607_290","X2021607_291","X2021607_292","X2021607_293","X2021607_294","X2021607_2EB210521","X2021624_10","X2021624_11","X2021624_13","X2021624_14","X2021624_15","X2021624_16","X2021624_17","X2021624_18","X2021624_19","X2021624_2","X2021624_20","X2021624_21","X2021624_22","X2021624_24","X2021624_25","X2021624_26","X2021624_27","X2021624_28","X2021624_29","X2021624_3","X2021624_30","X2021624_31","X2021624_32","X2021624_33","X2021624_34","X2021624_35","X2021624_36","X2021624_37","X2021624_38","X2021624_39","X2021624_4","X2021624_40","X2021624_41","X2021624_42","X2021624_43","X2021624_44","X2021624_5","X2021624_6","X2021624_7","X2021624_8","X2021624_9","X2021624_EB03052022","X2021624_EB05052022","X2021624_LB05052022","X2022607_235","X2022607_236","X2022607_237","X2022607_238","X2022607_239","X2022607_240","X2022607_241","X2022607_242","X2022607_243","X2022607_244","X2022607_245","X2022607_247","X2022607_248","X2022607_249","X2022607_250","X2022607_251","X2022607_252","X2022607_253","X2022607_254","X2022607_255","X2022607_257","X2022607_258","X2022607_259","X2022607_260","X2022607_261","X2022607_262","X2022607_263","X2022607_264","X2022607_265","X2022607_266","X2022607_269","X2022607_270","X2022607_271","X2022607_272","X2022607_273","X2022607_274","X2022607_275","X2022607_276","X2022607_277","X2022607_EB08062022","X2022607_EB26052022","X2022607_EB30052022_2","X2022607_LB30052022","Es1","Es2","MC1","MC10","MC11","MC2","MC3","MC4","MC5","MC6","MC7","MC8","MC9","MC_amplicon_NB","MC_v1_NA_Br1","MC_v1_NA_Br2","MC_v1_NA_Br3","MC_v2_NB_Br1","MC_v2_NB_Br2","NA_NTC","NB_NTC"
NA,NA,NA,NA,NA,NA,NA,"GG01_002910388",0.82967032967033,0.82967032967033,15210,0,36,0,118,0,108,0,66,2,1188,184,88,0,0,430,2,412,0,12,0,180,6,36,14,0,0,0,0,0,1364,4,0,0,98,0,540,0,18,32,74,272,0,0,0,0,0,0,0,0,0,14,2,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,336,0,0,0,2,0,0,0,0,0,26,0,0,0,0,0,0,2,10,42,0,0,0,0,0,22,0,0,14,6,2,0,388,216,0,0,76,34,0,0,0,8,190,0,0,2,2,0,0,162,0,8,0,74,16,0,0,0,0,0,0,248,2,0,0,0,0,0,0,0,30,5302,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,0,12,840,12,0,0,8,2,42,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","GG01_000002262",1,0.754285714285714,30010,56,150,24,8,2158,78,84,264,2,96,160,704,514,0,4,0,1566,10,0,0,16,50,44,8,16,58,38,250,0,8,4,0,0,0,0,28,0,66,34,14,0,40,0,16,0,34,538,8,198,44,16,0,1544,2,316,408,0,928,20,1440,0,0,4,0,16,54,0,340,0,16,0,338,84,0,370,0,0,0,0,0,26,4,48,32,24,0,1380,30,0,4,1620,0,996,0,0,14,6,12,0,0,52,2,12,2,2,2,0,0,0,2,0,2,0,22,0,64,80,24,1670,0,4,32,404,54,0,0,8,66,0,28,152,14,0,0,0,510,44,326,176,10,26,18,40,0,58,50,88,0,6,0,0,24,52,0,362,234,26,754,2646,98,872,756,4,20,404,12,0,0,0,2,0,0,0,0,2094,0,0,14,62,0,2,16,0,0,0,2,12,0,2,0,8
"Animalia","Chordata","Teleostei","Cyprinodontiformes","Aplocheilidae","Epiplatys","Epiplatys dageti","GG01_006744399",0.964,0.862068965517241,63048,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,0,0,0,0,2,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,4,0,0,0,0,0,0,34360,2,0,0,2,5398,2,8372,0,0,132,0,110,0,1340,934,3774,8570,0,0
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus muelleri","GG01_005217401",0.969,0.792134831460674,187854,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,2,0,0,0,4340,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4378,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,84902,0,0,0,0,0,0,0,0,0,2,93048,0,112,0,2,1020,0,0
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus","GG01_006469837",1,0.867052023121387,1263018,0,100,694,0,0,2936,0,2,834,0,9916,0,0,2446,3070,4,3306,5562,1146,0,0,2218,4,5542,3176,0,0,0,2,0,4,556,0,0,0,2428,0,9314,1448,2034,4,0,0,0,30,0,0,21174,8558,30330,7590,7910,4,12460,20746,6146,2390,46,20054,11510,7076,282,2,26626,20132,18698,15664,27414,14232,30580,4262,11588,0,1884,13542,11188,11820,11570,27956,5286,20562,10824,6,824,6954,0,14,2866,0,1702,0,2,0,0,2,0,0,1194,14,6,3068,574,2410,16,1388,2508,4,0,0,1094,8266,5300,4572,0,734,0,2678,0,0,2,830,1420,7630,1884,0,0,0,4128,192,1726,13194,2342,72,45396,126,4760,5272,0,2318,2378,4338,3148,4010,2436,3822,404,7446,22,408,1284,4070,770,8,1636,392,6180,5830,7212,43110,26236,2098,75664,41014,25520,37980,53970,0,0,2,0,4,2,2,0,0,51224,2,0,4442,0,8086,42136,0,153664,0,890,310,4788,1710,0,0
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes|Hyperoplus","Ammodytes marinus|Hyperoplus lanceolatus|Ammodytes tobianus","GG01_001124482",0.935,0.924418604651163,47598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2446,8,0,0,0,0,118,0,0,0,0,0,0,0,2,0,1088,2,0,0,0,0,0,2,0,0,0,0,0,2,1570,0,1386,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,472,0,0,3664,0,0,0,0,0,0,0,4078,0,4,0,2,0,2,0,0,2,0,2,1144,1374,0,2,4212,2,0,0,0,0,0,0,0,0,0,2,4614,3828,4202,4094,4402,3144,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0
"Animalia","Chordata","Teleostei",NA,NA,NA,NA,"GG01_006468058",0.755681818181818,0.755681818181818,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GG01_003158714",0.966,0.96551724137931,859384,0,2,2178,4054,0,6,0,5434,0,4878,8294,3016,0,12570,7910,6756,21962,1680,0,0,0,0,918,106,0,0,0,0,0,2,960,0,2312,0,0,2,2064,0,0,0,0,0,0,0,2,0,2,0,2156,0,4,2,0,4,8,568,2,158,0,2,1234,0,0,2,22,2,1594,0,2,0,20,2480,0,4,2,2702,0,1276,2,1546,4,0,2,95014,37844,0,12,20212,6890,0,20684,65372,0,0,72562,6412,0,0,5196,0,2,7570,27206,6,0,20910,4264,0,0,2296,5402,0,0,43392,8352,3334,1932,0,1366,7840,3670,97182,105092,18426,2,0,0,0,942,1950,15438,508,14,5258,0,2792,1992,42,4348,2,3440,2,508,0,1944,882,1020,16,6968,270,1988,208,3008,1890,0,0,5344,2,6,158,3392,1422,1396,1280,2032,1508,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,2,0,50,0,2,4,2,0,0,0
"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Trigonostigma","Trigonostigma espei","GG01_002913505",0.942,0.931034482758621,5788312,0,2,2,0,0,2,0,2,2,4,2,2,0,0,4,2,8,0,2,0,0,2,0,0,0,0,4,4088,4,0,2,0,2,0,0,0,2208,10378,0,2,0,2,0,2,0,0,0,8,0,2,2,4,12,0,10,2,2,0,4,0,4,4,0,4,1180,2526,2,0,2,2,12,0,60,10,0,10,0,6,6,304,0,0,0,0,2,2,2,0,0,2,4,0,2,0,4,0,0,4,0,0,4,0,6,0,954,0,0,0,2,0,0,0,0,4,0,0,4,0,0,0,0,2,4,2900,0,2,18,0,0,8,4,404,8,12,0,2,2,6,6,2,0,6,6,2,4,40,2,2,42,0,0,0,0,0,2,4,0,16,0,0,2,4,0,2,4,2,56,28,0,4,106574,1114680,322730,204234,314546,127686,325818,314892,331028,308622,265866,132224,276150,129474,0,289804,143000,476916,578552,2,4
"Animalia","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae","Poecilia","Poecilia sphenops","GG01_001663732",0.870786516853933,0.870786516853933,29844240,92994,94516,168606,159516,118752,123604,216430,193196,162862,144826,157550,176500,209202,79726,156270,136670,148464,238286,120866,21428,251354,224458,149704,192408,72042,175832,179024,222652,177112,209036,152226,149248,234976,214446,163146,179448,152364,145882,169376,157094,77220,204108,390,375386,264246,367816,372230,157032,246202,164274,238482,180342,310806,144572,203770,73850,313196,199960,224378,155190,203816,198162,209858,219478,225708,265774,127356,247876,98550,193406,256106,235020,331866,109142,159594,150960,97512,130196,80806,72072,117226,139008,358266,127248,147228,134292,283988,131312,227626,153818,142514,139426,216086,112676,180072,153262,197226,71584,123334,81110,97652,153034,144778,143122,99702,127450,209132,250636,125810,145794,154490,131196,99174,58412,189514,172394,182930,234562,96256,61254,75790,165720,300716,177298,203500,64444,224794,93374,60024,192804,219258,70884,214,143218,53080,145686,190968,333072,140230,102762,246310,80498,94286,60970,75382,46532,171100,193810,131444,72850,107696,37340,186130,239868,46332,204416,227802,333844,199588,182394,226682,236022,197640,273568,164286,124964,60,10,174034,343192,848194,1588,60446,47850,37834,8602,79882,71802,42972,70714,35984,11362,45744,476,0,356,102,2388,6140,173658,167866
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Ciliata","Ciliata septentrionalis","GG01_001175492",0.924,0.901734104046243,41550,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3466,2,0,0,0,0,0,0,0,0,0,0,0,0,8478,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2,1180,2,1170,0,5400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5470,0,0,4,0,2,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,4,2,0,0,0,9196,0,7140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","GG01_001684835",0.985,0.901734104046243,18261848,3696,8514,8,1752,1000,4462,16,5630,4822,26166,78346,50718,0,50744,17520,2622,32850,44934,2036,272,22108,0,25252,2,0,0,0,25320,8,16498,1482,12430,20104,7386,2,3100,12350,0,14652,11836,4,2,0,12,54,36,2,246210,168324,132100,174390,75220,186890,104530,156778,27636,67064,634,110034,275698,101332,29000,14,131930,45158,188898,53914,45356,77088,92784,48278,238060,12,313796,293304,163486,260990,617344,147464,459768,325526,118300,34,22106,5912,26,70490,4274,8420,17494,8180,8,6,25794,12904,14,8,30104,23940,13508,65144,11634,17792,88548,15530,49050,6,2,0,32758,694,186,18266,8326,18768,4664,79996,4,5492,1652,17274,8860,4160,48536,108,6,2,8886,727084,202004,237292,558972,288,73340,569044,162524,115046,178,974050,545028,111922,948100,716532,13994,766074,352708,101556,280,747640,291780,74832,481890,362830,104942,478462,464814,64218,115110,101808,56286,159636,123700,129094,204268,117656,57492,30,8,4,4,10,8,1966,32226,6,8,20194,4,2,4,4,26,4,75682,0,54188,28070,1214,60,26,2
