"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2018625_1.EB29.05.19","X2018625_1.LB28.05.19","X2018625_1.LB29.05.19","X2018625_10","X2018625_11","X2018625_12","X2018625_13","X2018625_14","X2018625_16","X2018625_17","X2018625_18","X2018625_19","X2018625_2.EB28.05.19","X2018625_20","X2018625_27","X2018625_28","X2018625_31","X2018625_35","X2018625_36","X2018625_38","X2018625_4","X2018625_42","X2018625_44","X2018625_7","X2018625_9","X2019629_12","X2019629_13","X2019629_14","X2019629_19","X2019629_20","X2019629_21","X2019629_23","X2019629_24","X2019629_27","X2019629_29","X2019629_3","X2019629_30","X2019629_4","X2019629_5","X2019629_8","X2019631_10","X2019631_11","X2019631_14","X2019631_15","X2019631_16","X2019631_17","X2019631_18","X2019631_19","X2019631_1EB171221","X2019631_1LB201221","X2019631_2","X2019631_20","X2019631_21","X2019631_22","X2019631_23","X2019631_24","X2019631_25","X2019631_26","X2019631_27","X2019631_28","X2019631_29","X2019631_2EB091221","X2019631_2EB171221","X2019631_3","X2019631_30","X2019631_31","X2019631_32","X2019631_33","X2019631_36","X2019631_37","X2019631_38","X2019631_39","X2019631_4","X2019631_40","X2019631_41","X2019631_42","X2019631_43","X2019631_44","X2019631_5","X2019631_6","X2019631_7","X2019631_8","X2019631_9","X2019631_EB25022022","X2019631_LB22022022","X2019631_LB28022022","Mock_v4_NE_br1","Mock_v4_NE_br2","Mock_v4_NE_br3","NTC_NE"
"Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","GG01_001087826",1,0.810344827586207,121126,0,2,1,0,132,0,6550,3,20,58,1005,22,1078,13,598,54,17,28,5,9,24,0,3,24,0,303,26742,3,3,0,3897,9,0,0,0,288,0,2515,303,0,0,0,27,0,17,6,0,0,0,0,0,39,15,3,1,165,0,12,204,1,755,0,0,32,1,66951,456,265,156,0,5,0,96,0,216,1,12,1,3,7848,0,87,2,20,0,0,0,15,5,0
NA,NA,NA,NA,NA,NA,NA,"GG01_000004055",0.55026455026455,0.55026455026455,35785,0,0,0,2,0,0,2177,0,6,12,11,0,0,0,0,23,0,0,7,138,1566,0,0,1758,0,13020,1878,1428,30,72,0,114,516,18,1455,42,0,1220,39,33,296,0,0,3,1,0,293,1807,0,0,0,0,57,12,0,0,8,6,14,0,15,0,0,125,13,24,2633,94,39,13,2605,13,1923,14,47,0,34,0,63,0,0,18,0,0,0,0,0,5,45,0
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus muelleri","GG01_000023585",0.931,0.812154696132597,151548,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,6,9,0,0,9,0,0,0,6,3,0,15,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,0,0,3,0,0,3,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,142060,9380,15,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus","GG01_000288376",1,0.852272727272727,6735730,0,0,2,0,8,2,1,18479,17,2,14,1,0,0,0,1,1,1,10172,16,9,6,1,0,2,3,15,68673,18,21,6,768,6,12,6,6903,175581,28410,12,3,4,1,5913,0,3,20097,0,0,0,0,0,6088,0,3,0,0,39609,84,34,11,1,0,6,1,0,24,1,23490,97563,5,17,63838,5,13,0,84610,4,4,2,14964,3,1,7,0,2,0,3168475,1520610,1381065,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","GG01_001256493",0.948,0.870786516853933,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GG01_000586255",0.965,0.959537572254335,169560,0,0,1,0,1,0,4761,0,7,0,2,0,0,0,0,0,0,0,1,1310,1,3595,0,6,0,4326,21294,801,0,5601,0,3,15852,0,31203,2919,3,29265,9,3,0,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,6,3962,0,0,0,0,0,0,6498,0,19672,186,1,0,5838,0,1,2444,9284,0,0,1,0,0,0,0,0,0,0,10,10,0,0
"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Trigonostigma","Trigonostigma espei","GG01_000031068",0.977,0.977272727272727,735,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,40,0,0
"Animalia","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae","Poecilia","Poecilia sphenops","GG01_000165383",0.943,0.943502824858757,158983,16,35,43,51,43,53,87,9,49,63,58,30,56,37,54,52,32,18,33,57,51,60,55,300,23,210,156,78,153,90,90,84,75,153,261,123,216,305,174,36,45,12,56,48,58,105,25,43,129,135,177,69,180,192,41,45,70,57,49,38,44,66,81,85,43,246,46,69,210,55,44,60,46,30,48,50,44,62,31,78,66,39,35,46,34,52,85110,66580,180,260
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","GG01_001177319",0.927,0.891428571428571,5676515,8,1,37,41,55,44615,4,27,47167,49616,20103,6,18,4,20,145989,5,73375,62833,98069,62036,4622,25400,98910,45,24,48,157224,15,24,3,75186,38004,53850,338118,329496,143685,372290,51,954,142918,35782,36318,4,9372,366597,16056,14,0,18,0,81408,18,0,11,31,130351,24,66,91807,4,0,24,44387,0,39477,3,27915,414987,394791,7197,249029,170697,275147,90537,165651,216787,13,13173,33876,218680,22419,137762,3,23,0,390,420,320,30
"Animalia","Chordata","Teleostei","Gadiformes",NA,NA,NA,"GG01_000960278",0.884393063583815,0.884393063583815,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
