"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2018625_1.EB31.05.19","X2018625_15","X2018625_2.LB29.05.19","X2018625_21","X2018625_22","X2018625_24","X2018625_25","X2018625_26","X2018625_29","X2018625_3","X2018625_32","X2018625_33","X2018625_34","X2018625_37","X2018625_39","X2018625_40","X2018625_41","X2018625_5","X2018625_8","X2020611_131","X2020611_132","X2020611_133","X2020611_134","X2020611_135","X2020611_136","X2020611_139","X2020611_140","X2020611_141","X2020611_142","X2020611_143","X2020611_144","X2020611_145","X2020611_147","X2020611_148","X2020611_149","X2020611_150","X2020611_151","X2020611_152","X2020611_EB11042022","X2020611_LB11042022","X2020611_LB13042022","X2021607_146","X2021607_148","X2021607_149","X2021607_150","X2021607_151","X2021607_152","X2021607_153","X2021607_154","X2021607_157","X2021607_158","X2021607_159","X2021607_160","X2021607_161","X2021607_162","X2021607_163","X2021607_164","X2021607_165","X2021607_176","X2021607_183","X2021607_184","X2021607_185","X2021607_190","X2021607_191","X2021607_192","X2021607_193","X2021607_194","X2021607_195","X2021607_197","X2021607_198","X2021607_1EB190521","X2021607_1LB210521","X2021607_1LB270521","X2021607_220","X2021607_223","X2021607_225","X2021607_226","X2021607_228","X2021607_229","X2021607_230","X2021607_231","X2021607_273","X2021607_284","X2021607_2EB110521","X2021607_EB040821","X2021607_EB100821","X2021607_EB230821","X2021607_LB230821","Mock_v5_NF_br1","Mock_v5_NF_br2","Mock_v5_NF_br3","NTC_NF"
"Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","GG01_007416901",0.994,0.810344827586207,144107,0,8,1,75,47,182,34,198,187,438,48,0,11,0,0,32,6,3,656,60925,8084,38,8,244,9177,0,8415,1607,3,248,80,10,0,0,18645,1,0,16,6650,1111,0,175,1,396,267,1,2,0,101,0,206,5710,260,0,16,0,386,40,0,581,815,6,0,1292,643,7230,0,2,0,90,0,57,0,21,21,32,0,49,683,93,1756,698,55,0,0,4966,186,1,79,0,2,0
NA,NA,NA,NA,NA,NA,NA,"GG01_004336253",0.513227513227513,0.513227513227513,7309,0,0,0,0,0,3982,12,40,0,0,20,0,0,0,44,0,274,0,22,0,224,19,33,634,187,283,15,240,39,0,84,0,19,37,3,115,0,2,0,0,0,0,13,19,0,0,0,0,0,0,0,0,52,0,0,0,0,0,96,0,30,208,0,0,2,0,0,19,0,0,0,0,0,0,159,165,0,194,0,0,2,0,0,0,0,0,0,0,22,0,0,0
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus muelleri","GG01_000295911",0.92,0.834285714285714,299026,0,0,0,0,25,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,4,0,0,8146,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,5,0,0,1,1,1,0,1,1,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,5,0,1,0,0,0,0,0,109891,36025,144897,0
"Animalia","Chordata","Teleostei","Cyprinodontiformes","Aplocheilidae","Epiplatys","Epiplatys dageti","GG01_000225637",1,0.84,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,7,0,0
"Animalia","Chordata","Teleostei",NA,NA,NA,NA,"GG01_004713270",0.857142857142857,0.857142857142857,353,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,3,3,0,14,14,0,0,4,0,1,9,7,0,2,4,6,0,0,2,0,2,0,2,0,0,0,3,0,50,0,1,0,4,1,0,0,0,0,0,0,0,10,14,35,0
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes|Hyperoplus","Ammodytes marinus|Hyperoplus lanceolatus|Ammodytes tobianus","GG01_009279651",0.931,0.92090395480226,27865,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15325,0,0,1,1,0,1,0,0,556,8254,0,0,0,0,0,3710,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus","GG01_001169249",0.981,0.850574712643678,1212904,0,4491,1,1,59,26721,0,4600,7201,0,63,0,23400,10519,16781,0,0,0,0,7,133,2,15673,0,3,4,3,0,8313,1,5673,2,13419,2161,21247,26901,1,10578,0,0,0,4064,17402,23866,2884,10571,24553,14,30440,63,18888,9047,0,4642,27831,15463,16867,6681,33857,0,7405,11173,3417,9,3,4,1,5535,20011,3419,1,0,1,12770,11,3363,1945,20412,2121,21824,71881,0,0,0,0,0,2,0,218174,135040,229291,0
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GG01_007140146",0.932,0.931818181818182,105298,0,0,0,0,0,0,0,0,21,0,1,0,4105,4386,5119,0,0,0,0,4244,0,0,4931,0,0,5004,1,732,9055,4877,2644,0,11227,4132,0,4940,0,0,0,0,0,0,0,1,4,3,616,1,635,1,0,1,0,0,0,0,4,1523,0,0,0,0,0,0,1,0,0,0,1381,2,0,0,0,1,216,10706,5554,0,3722,12241,3134,0,0,0,0,1,1,0,67,8,55,0
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GG01_008064849",0.943,0.942857142857143,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,107,0,240,11,3,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Trigonostigma","Trigonostigma espei","GG01_000657818",0.977,0.977272727272727,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,89,170,0
