"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021607_168","X2021607_170","X2021607_172","X2021607_177","X2021607_179","X2021607_180","X2021607_182","X2021607_196","X2021607_202","X2021607_205","X2021607_207","X2021607_208","X2021607_209","X2021607_212","X2021607_213","X2021607_216","X2021607_218","X2021607_219","X2021607_224","X2021614_109","X2021614_110","X2021614_112","X2021614_125","X2021614_132","X2021614_137","X2021614_139","X2021614_142","X2021614_143","X2021614_148","X2021614_175","X2021614_18","X2021614_184","X2021614_20","X2021614_212","X2021614_214","X2021614_215","X2021614_29","X2021614_39","X2021614_45","X2021614_EB011121","X2021614_LB011121","X2021614_LB081121","Mock_v4_NG_br1","Mock_v4_NG_br2","Mock_v4_NG_br3","NTC_NG"
"Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","GG01_000765162",0.995,0.748663101604278,8824,0,19,225,1220,348,0,0,5409,29,0,1,29,0,0,0,2,1,0,2,118,57,433,0,178,17,0,0,216,35,0,35,0,0,48,1,7,65,16,0,42,5,264,0,1,1,0
NA,NA,NA,NA,NA,NA,NA,"GG01_002547526",0.565,0.565,1157,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,3,0,0,0,0,38,41,0,108,63,0,0,184,140,0,75,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus muelleri","GG01_000639271",0.959,0.832369942196532,101930,8,5,0,0,0,0,7,1,1,0,27837,4,0,2,0,3,5287,0,0,1,0,5,0,1,1,0,1,0,0,0,0,0,0,2,5,1,0,0,0,0,1,0,20929,12629,35199,0
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GG01_000644557",0.96,0.959537572254335,1029482,20,1304,2352,5,3,2,12415,13513,6,1,13127,6,3,5,3,11171,11778,8,3,69641,24290,51996,5,49,10,16344,15082,9022,10450,5,3,35436,38,59910,581900,78610,3,1,10918,0,11,1,14,10,7,1
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadiculus","Gadiculus argenteus","GG01_000767858",0.946,0.839080459770115,79055,9,1,0,0,0,1,27504,37665,2,0,13834,1,2,1,2,2,5,3,0,0,0,5,0,4,1,0,0,2,1,0,0,0,1,0,0,0,2,0,0,0,4,0,0,3,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus|Merlangius","Melanogrammus aeglefinus|Merlangius merlangus","GG01_001172150",0.907,0.884393063583815,401895,12923,33,16590,11,9,8,17429,25102,5166,1,7663,63,31,23775,9416,5735,12375,69,10105,43191,13531,79151,4,20,35,93626,20050,3,13,6,0,8,8,20,5666,0,17,6,0,1,10,6,7,6,6,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Boreogadus","Boreogadus saida","GG01_000155825",0.914,0.909604519774011,41,1,1,1,0,0,0,0,0,5,0,0,5,1,4,1,2,10,1,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes",NA,NA,NA,"GG01_001106677",0.875706214689266,0.875706214689266,29,4,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,2,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","GG01_000897671",0.934,0.897727272727273,616,13,5,14,0,3,0,3,16,21,0,10,18,22,63,9,14,127,18,7,111,0,112,0,2,4,4,2,0,1,0,0,1,0,1,13,0,2,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Ciliata","Ciliata septentrionalis","GG01_001031001",1,0.88953488372093,7179,0,0,2,0,0,0,6,1,3,0,1,0,0,0,0,2,0,0,0,2,0,7151,0,3,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0
