"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021607_147","X2021607_169","X2021607_171","X2021607_173","X2021607_174","X2021607_175","X2021607_181","X2021607_186","X2021607_187","X2021607_201","X2021607_203","X2021607_204","X2021607_206","X2021607_211","X2021607_214","X2021607_215","X2021607_217","X2021607_227","X2021607_LB230921","X2021614_116","X2021614_119","X2021614_122","X2021614_124","X2021614_13","X2021614_134","X2021614_14","X2021614_141","X2021614_146","X2021614_15","X2021614_152","X2021614_166","X2021614_176","X2021614_182","X2021614_186","X2021614_209","X2021614_213","X2021614_219","X2021614_28","X2021614_35","X2021614_36","X2021614_41","X2021614_47","X2021614_49","X2021614_97","X2021614_99","X2021614_LB041121"
"Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","GG02_000645435",0.995,0.748663101604278,80953,0,3,1,134,0,483,108,18,7,0,94,539,45,23437,45,0,1076,18476,1,0,177,202,1939,125,0,432,2689,26,0,5,101,22,11,0,0,2,2,2,27961,271,0,0,211,2173,4,131
NA,NA,NA,NA,NA,NA,NA,"GG02_000684585",0.632352941176471,0.632352941176471,3774,0,0,0,15,1,0,0,0,39,0,0,0,1,0,98,0,0,11,0,0,0,122,2,0,443,0,17,18,402,0,39,0,12,133,0,17,34,0,209,1910,0,151,11,89,0,0
"Animalia","Porifera","Demospongiae","Haplosclerida","Petrosiidae","Petrosia","Petrosia ficiformis","GG02_000449010",0.915,0.618811881188119,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus muelleri","GG02_000421959",1,0.810344827586207,23,0,3,0,2,0,2,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,1,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GG02_001606762",0.925,0.925287356321839,1119558,2,17313,6,11786,8237,10,2,4,5,23411,1,1,22131,1,7705,0,2,3132,0,0,169890,106983,97,0,41502,1,65015,171476,9,254507,40267,9,1,0,0,84532,52515,2,8,0,31,2,3,0,38958,1
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Boreogadus","Boreogadus saida","GG02_000592217",0.912,0.912280701754386,18,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Ciliata","Ciliata mustela","GG02_000790383",1,0.884393063583815,25,0,4,1,0,0,1,4,2,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Ciliata","Ciliata septentrionalis","GG02_001023049",1,0.88953488372093,25,0,2,0,0,1,1,3,0,0,1,0,0,0,0,1,0,2,0,0,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","GG02_000746617",1,0.913793103448276,3959493,30491,14793,148508,120738,100394,58537,47222,134882,136826,189747,154279,98436,162009,14,158353,12328,100808,199260,8,7,352368,281121,130,2,41,2,7,95738,37657,55847,61973,21,5,19010,3,42255,28663,23,25949,80,26,7,160581,2,930289,53
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","GG02_000163683",0.928,0.903409090909091,1407,2,1,116,15,59,9,13,60,15,260,23,52,39,0,18,5,92,95,0,0,116,52,0,0,0,0,0,37,36,12,10,0,0,1,0,20,21,0,8,0,0,0,68,0,152,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadiculus","Gadiculus argenteus","GG02_000643933",1,0.88953488372093,3669,0,1,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,3647,0,0,4,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,1,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Enchelyopus","Enchelyopus cimbrius","GG02_000299553",1,0.86046511627907,10706,0,1,1,5,1,1,0,0,0,1,0,0,0,0,1,0,4,5,0,0,0,0,0,0,0,0,0,10685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus|Merlangius","Melanogrammus aeglefinus|Merlangius merlangus","GG02_001374895",0.924,0.924418604651163,688908,12,5,49666,29,26531,6134,18,12012,23,58,36,40,9787,0,33,6837,36,10724,0,0,205750,196246,72,0,10,0,0,69447,22,33591,46929,0,0,6,1,23,16,3,22,7,12,0,29,0,14739,2
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","GG02_000659545",0.948,0.947674418604651,66,0,0,0,3,0,0,0,1,2,2,2,0,3,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,45,0
