"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021614_1","X2021614_10","X2021614_107","X2021614_11","X2021614_111","X2021614_120","X2021614_127","X2021614_128","X2021614_129","X2021614_131","X2021614_138","X2021614_140","X2021614_144","X2021614_145","X2021614_149","X2021614_151","X2021614_153","X2021614_158","X2021614_16","X2021614_160","X2021614_164","X2021614_167","X2021614_168","X2021614_170","X2021614_174","X2021614_179","X2021614_180","X2021614_183","X2021614_185","X2021614_19","X2021614_218","X2021614_25","X2021614_26","X2021614_27","X2021614_3","X2021614_43","X2021614_44","X2021614_48","X2021614_5","X2021614_50","X2021614_7","X2021614_8","X2021614_EB171121","X2021614_EB181121","Mock_v5_NH_br1","Mock_v5_NH_br2","Mock_v5_NH_br3","NTC_NH"
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus","GG03_000614137",0.953,0.86046511627907,121156,0,0,0,3,5,0,0,1,4,0,11241,0,0,0,8,2,2,0,0,1,22960,4,0,1,0,0,0,4,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,27349,20486,39079,0
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus muelleri","GG03_000280558",0.911,0.738372093023256,363919,1,0,0,0,30,1,0,0,3,0,2,0,0,0,2,1,2,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,127372,62810,173687,0
"Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","GG03_001445518",1,0.754285714285714,30651,0,0,805,820,72,194,2,208,9,16,235,263,229,1243,0,91,801,2452,27,43,498,2,35,0,22,51,0,778,3,14,347,6,0,142,0,3,8505,133,1687,0,10714,35,161,2,2,0,1,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Escherichia coli","GG03_000537968",1,0.556603773584906,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,"GG03_000976581",0.541463414634146,0.541463414634146,1881,0,0,163,0,0,9,0,10,7,92,1,5,6,0,0,3,394,546,0,1,274,0,25,0,33,43,0,27,0,0,8,0,0,0,0,0,19,14,201,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Cyprinodontiformes","Aplocheilidae","Epiplatys","Epiplatys dageti","GG03_000185777",1,0.84,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"Animalia","Chordata","Teleostei",NA,NA,NA,NA,"GG03_000064967",0.75,0.75,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","GG03_000599219",0.922,0.878612716763006,1314469,2,75201,25405,24365,49197,42846,10,20,47054,7292,17317,18144,29709,0,122717,23350,3222,13,26,44574,28809,51836,1,17605,6,28677,4,6016,0,204737,53493,3,36,11,4,40,45283,3,4,14640,2,16,0,1,108747,70905,153126,0
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GG03_000360537",0.943,0.942528735632184,707148,2,0,1,1,0,14580,2,33898,11773,18974,30439,1,33239,0,129166,68868,44075,17240,1,15161,23514,66152,16872,3,19944,40592,0,4271,0,5,117972,0,1,2,2,8,3,0,0,0,1,1,0,0,270,51,63,0
"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Trigonostigma","Trigonostigma espei","GG03_000140692",1,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,21,0
