"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021614_100","X2021614_101","X2021614_102","X2021614_103","X2021614_104","X2021614_106","X2021614_108","X2021614_113","X2021614_114","X2021614_117","X2021614_118","X2021614_121","X2021614_123","X2021614_126","X2021614_130","X2021614_133","X2021614_136","X2021614_147","X2021614_150","X2021614_154","X2021614_156","X2021614_157","X2021614_159","X2021614_161","X2021614_162","X2021614_163","X2021614_169","X2021614_17","X2021614_171","X2021614_172","X2021614_178","X2021614_181","X2021614_211","X2021614_216","X2021614_217","X2021614_23","X2021614_24","X2021614_31","X2021614_33","X2021614_37","X2021614_38","X2021614_4","X2021614_40","X2021614_46","X2021614_51","X2021614_83","X2021614_9","X2021614_96"
"Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","GG04_001146365",1,0.810344827586207,31509,216,0,38,114,789,97,135,967,272,1843,113,236,0,351,0,1,53,0,0,0,11,830,4718,180,164,27,1275,0,0,7990,666,44,8,463,3,1,750,4416,506,2610,2,42,0,577,25,615,154,207
NA,NA,NA,NA,NA,NA,NA,"GG04_001501412",0.85632183908046,0.85632183908046,3021,0,131,0,39,36,72,0,13,648,0,21,18,83,9,235,70,13,7,35,0,0,17,0,10,0,12,2,0,11,727,53,0,9,42,5,0,0,602,0,0,0,0,83,0,18,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","GG04_001024282",0.929,0.878612716763006,3737807,63034,12031,672578,15476,12736,315719,26176,102834,40,1,21722,18048,51646,27,6,28785,170955,1257,4,39186,11,107947,7,9558,44550,65656,31269,10945,0,108114,62332,26339,458040,51639,254356,1,3,12595,1,0,5,4604,31,18548,3,10,44612,874370
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus muelleri","GG04_000276062",1,0.810344827586207,26,0,1,2,1,1,1,1,1,1,0,1,0,1,0,0,0,2,2,0,2,0,1,0,0,0,2,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GG04_000195142",0.937,0.937142857142857,1186418,1,73320,14471,14552,100519,48768,33452,19806,26126,0,33795,18577,6261,0,15148,17556,56525,78168,23227,49177,0,20227,1,9085,76973,57636,32935,12,1,72677,39793,12051,105910,75786,22215,0,1,0,1,0,0,0,0,2,0,0,0,31663
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","GG04_000139732",0.907,0.880681818181818,534,4,0,63,0,0,108,1,13,0,0,1,2,2,0,0,1,30,0,0,2,0,8,0,0,3,3,2,0,0,15,4,1,57,0,71,0,0,1,0,0,0,0,0,0,0,0,2,140
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Ciliata","Ciliata mustela","GG04_000282382",1,0.884393063583815,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Raniceps","Raniceps raninus","GG04_000764492",1,0.913793103448276,15,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes",NA,NA,NA,"GG04_001321496",0.895348837209302,0.895348837209302,782,3,0,45,1,12,61,2,39,0,0,22,4,5,0,0,4,16,0,0,3,0,192,0,5,3,12,11,2,0,28,0,0,69,42,100,0,0,4,0,0,0,0,0,0,0,0,2,95
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadiculus","Gadiculus argenteus","GG04_000036764",1,0.88953488372093,27,0,0,2,0,0,2,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","GG04_000877376",0.908,0.870056497175141,46,0,0,0,0,0,7,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8
