"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2022607_1","X2022607_10","X2022607_11","X2022607_14","X2022607_15","X2022607_151","X2022607_153","X2022607_154","X2022607_156","X2022607_158","X2022607_159","X2022607_16","X2022607_160","X2022607_161","X2022607_162","X2022607_163","X2022607_164","X2022607_165","X2022607_166","X2022607_167","X2022607_17","X2022607_171","X2022607_172","X2022607_173","X2022607_175","X2022607_183","X2022607_184","X2022607_185","X2022607_186","X2022607_188","X2022607_19","X2022607_191","X2022607_192","X2022607_193","X2022607_194","X2022607_195","X2022607_196","X2022607_197","X2022607_199","X2022607_20","X2022607_200","X2022607_203","X2022607_205","X2022607_210","X2022607_22","X2022607_26","X2022607_27","X2022607_279","X2022607_30","X2022607_31","X2022607_32","X2022607_33","X2022607_36","X2022607_37","X2022607_38","X2022607_39","X2022607_40","X2022607_42","X2022607_43","X2022607_44","X2022607_47","X2022607_48","X2022607_49","X2022607_50","X2022607_52","X2022607_53","X2022607_58","X2022607_59","X2022607_6","X2022607_60","X2022607_61","X2022607_65","X2022607_69","X2022607_7","X2022607_71","X2022607_73","X2022607_74","X2022607_9","X2022607_EB071022","X2022607_EB280922","X2022607_LB081022","X2022624_106","X2022624_12","X2022624_121","X2022624_122","X2022624_20","X2022624_26","X2022624_28","X2022624_35","X2022624_37","X2022624_48","X2022624_66","X2022624_80","X2022624_81","PC_NJ"
"Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","GG01_006277688",0.994,0.810344827586207,85853,70,61,351,4,508,553,160,465,229,0,0,0,22,24631,160,484,4053,524,4296,565,78,226,2,599,3,1,37,211,888,48,81,142,1,1194,424,0,92,4127,121,936,75,0,1,10,3,103,1371,2,111,109,123,17,873,1189,172,137,682,840,907,4384,659,0,400,227,98,1,1666,3088,21,26,584,414,72,195,84,5472,16,97,152,4,0,65,51,79,1003,465,3116,6002,6,45,3405,510,329,45,0
NA,NA,NA,NA,NA,NA,NA,"GG01_003804929",0.545454545454545,0.545454545454545,7840,1,25,12,1,0,0,0,0,0,0,23,36,0,96,2,0,0,0,5,0,0,0,4,1,0,0,16,10,17,19,24,0,12,88,0,0,0,16,35,0,0,0,4,80,0,0,207,0,222,0,0,118,0,44,0,133,0,13,0,16,153,3,87,0,8,0,0,0,2,0,14,238,231,227,64,122,366,14,0,0,0,19,4076,22,2,0,500,3,28,68,248,0,34,31,0
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus muelleri","GG01_006696348",0.946,0.811428571428571,109592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5473,0,0,17704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86415
"Animalia","Chordata","Teleostei",NA,NA,NA,NA,"GG01_001156819",0.877777777777778,0.877777777777778,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Animalia","Chordata","Teleostei","Perciformes","Callionymidae","Callionymus","Callionymus reticulatus","GG01_006497668",1,0.773480662983425,750,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Osmeriformes","Argentinidae","Argentina","Argentina silus","GG01_004324275",1,0.982456140350877,3873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GG01_000178580",0.893854748603352,0.893854748603352,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GG01_000771581",0.942,0.942196531791908,1656322,1,12355,6833,35476,11653,0,11905,1,7462,0,0,0,0,0,0,0,0,9596,0,0,15518,5650,0,21497,471,0,6273,0,2,1,3381,0,0,0,0,0,3,5491,5242,26850,2222,0,2048,6075,3607,37089,17607,0,2030,50469,23146,12282,35820,80495,44286,47737,39490,29851,48591,31650,29127,44103,7807,47601,1884,46869,30327,40485,41237,49505,66713,44189,17861,3866,53989,31827,55122,39199,1,0,0,21890,1,18398,23983,8494,0,13813,0,5961,57025,154888,0,1,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","GG01_001133323",0.92,0.915254237288136,2694,8,33,283,35,10,9,5,8,2,0,30,14,6,5,17,5,12,20,13,9,153,5,0,21,0,1,5,18,7,3,0,0,10,0,8,28,70,27,26,22,33,64,175,66,0,2,0,0,1,30,24,1,151,0,8,99,13,128,8,7,77,0,94,71,0,55,23,39,166,1,27,8,1,53,16,44,51,159,0,0,0,0,0,4,0,18,0,10,0,0,6,12,0,9,12
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","GG01_001864234",0.94,0.860335195530726,7310246,21277,112646,358056,129592,52042,56909,25131,57757,37915,1,64098,63800,69682,27506,94089,53017,49481,84502,51782,52194,108801,41410,0,93456,19563,35623,50879,81248,24693,29899,11620,0,64184,15379,37437,108872,80506,85061,117464,90084,96748,116125,287712,138895,3848,46766,8320,0,27998,112267,64460,15228,238290,15698,60418,262740,71427,251765,58167,48931,201965,25890,94392,174574,7889,194863,106951,138076,307070,19323,81314,81379,37423,143740,72088,118829,186920,338291,1,2,0,0,4475,21501,18601,69345,1,77599,18505,2,58806,70756,41819,65461,48936
