"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2022624_10","X2022624_100","X2022624_101","X2022624_104","X2022624_105","X2022624_107","X2022624_108","X2022624_109","X2022624_11","X2022624_111","X2022624_112","X2022624_113","X2022624_114","X2022624_115","X2022624_116","X2022624_117","X2022624_118","X2022624_119","X2022624_120","X2022624_123","X2022624_126","X2022624_127","X2022624_128","X2022624_13","X2022624_131","X2022624_132","X2022624_133","X2022624_14","X2022624_15","X2022624_16","X2022624_17","X2022624_18","X2022624_19","X2022624_2","X2022624_21","X2022624_23","X2022624_24","X2022624_25","X2022624_27","X2022624_3","X2022624_31","X2022624_34","X2022624_36","X2022624_38","X2022624_39","X2022624_4","X2022624_40","X2022624_43","X2022624_44","X2022624_45","X2022624_47","X2022624_49","X2022624_5","X2022624_50","X2022624_53","X2022624_54","X2022624_55","X2022624_56","X2022624_57","X2022624_58","X2022624_59","X2022624_6","X2022624_61","X2022624_64","X2022624_65","X2022624_67","X2022624_68","X2022624_69","X2022624_7","X2022624_70","X2022624_71","X2022624_72","X2022624_74","X2022624_75","X2022624_76","X2022624_77","X2022624_78","X2022624_79","X2022624_8","X2022624_82","X2022624_9","X2022624_93","X2022624_95","X2022624_96","X2022624_98","X2022624_EB19062023","X2022624_EB20062023","X2022624_EB21062023","X2022624_LB19062023","X2022624_LB20062023","NTC_NK","PC_NK"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Zeugopterus","Zeugopterus norvegicus","GG01_002640075",0.941,0.845714285714286,53508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53499,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","GG01_000573161",1,0.754010695187166,187253,13141,46,1368,0,26,3272,148,459,11018,94,29,214,504,576,891,1042,2555,77,4440,144,1726,11,114,68,147,112,333,72,1227,1448,6942,0,3144,9,40,0,7,3838,2262,12036,0,3860,388,2356,155,606,206,25,1200,1,26,100,0,4737,101,5205,3,15199,4214,275,201,155,3600,7538,345,16485,4564,5330,101,1842,6168,907,103,2176,9,771,1805,1291,927,3394,639,2468,2201,72,1088,146,479,2,5909,4300,0,0
NA,NA,NA,NA,NA,NA,NA,"GG01_004292173",0.569148936170213,0.569148936170213,57552,158,4,21,0,6,13,252,545,0,341,207,11,0,535,587,0,16,135,17,709,43,217,48,23,71,406,21,20,99,4,1,166,232,0,0,193,3,12,176,201,101,57,634,29,969,1136,110,149,1862,2182,90,3320,0,29,9,758,168,581,1208,35,653,459,99,1491,5158,4153,266,289,30,22413,690,224,915,49,35,608,31,435,249,314,53,0,0,16,2,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei",NA,NA,NA,NA,"GG01_005727614",0.761363636363636,0.761363636363636,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Animalia","Echinodermata","Echinoidea","Paxillosida","Astropectinidae","Psilaster","Psilaster cassiope","GG01_002480775",0.953,0.675675675675676,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus","GG01_005601995",1,0.862068965517241,226722,0,0,0,0,15655,0,4293,0,0,11778,0,0,0,9598,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,26883,0,1,61206,0,0,0,0,0,0,0,0,0,0,0,19059,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,78214
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus|Merlangius","Melanogrammus aeglefinus|Merlangius merlangus","GG01_004049186",0.933,0.878612716763006,7710451,311858,17933,49010,1,19484,178897,11486,19490,10,39846,2,558601,34809,48469,7108,208493,56430,86969,352302,213324,3258,203907,1,0,25712,169905,14500,198451,19927,21734,140235,1,62265,19991,2,12,19618,216520,4,5860,157091,27938,32737,122410,52063,139027,44858,43998,57956,261667,142136,1966,1,49893,21955,78902,324752,67078,49907,361786,51369,44086,319556,14490,57709,36386,85072,160436,184915,9462,117075,189525,6436,47496,81694,50500,35700,55028,20,80717,29,4,27698,584198,2,3,1,5,0,0,0,96293
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus muelleri","GG01_005625681",0.965,0.796703296703297,274413,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,90,0,0,16327,29867,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,228037
"Animalia","Chordata","Teleostei","Perciformes","Callionymidae","Callionymus","Callionymus reticulatus","GG01_004955975",0.994,0.769230769230769,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Osmeriformes","Argentinidae","Argentina","Argentina silus","GG01_002351661",1,0.982456140350877,49061,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10023,0,0,35456,1302,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037,0,0,0,0,0,0,0,0
