"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021512_1","X2021512_10","X2021512_100","X2021512_101","X2021512_102","X2021512_103","X2021512_123","X2021512_124","X2021512_125","X2021512_126","X2021512_127","X2021512_128","X2021512_129","X2021512_130","X2021512_131","X2021512_132","X2021512_133","X2021512_155","X2021512_156","X2021512_157","X2021512_158","X2021512_159","X2021512_160","X2021512_161","X2021512_163","X2021512_164","X2021512_165","X2021512_2","X2021512_3","X2021512_32","X2021512_33","X2021512_34","X2021512_35","X2021512_36","X2021512_37","X2021512_38","X2021512_39","X2021512_4","X2021512_40","X2021512_44","X2021512_45","X2021512_46","X2021512_47","X2021512_48","X2021512_49","X2021512_5","X2021512_50","X2021512_51","X2021512_52","X2021512_54","X2021512_6","X2021512_65","X2021512_66","X2021512_67","X2021512_68","X2021512_69","X2021512_70","X2021512_71","X2021512_72","X2021512_73","X2021512_8","X2021512_9","X2021512_95","X2021512_96","X2021512_97","X2021512_98","X2021512_99","X2022624_102","X2022624_110","X2022624_125","X2022624_129","X2022624_130","X2022624_138","X2022624_22","X2022624_29","X2022624_30","X2022624_33","X2022624_41","X2022624_46","X2022624_51","X2022624_60","X2022624_84","X2022624_85","X2022624_86","X2022624_87","X2022624_88","X2022624_89","X2022624_90","X2022624_91","X2022624_92","X2022624_94","X2022624_97","X2022624_99","X2022624_LB23062023","NTC_NL","PC_NL"
"Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","GG01_001742378",1,0.754189944134078,255816,214,0,322,1258,3,537,153,2929,0,129,1912,8,1993,2,0,0,0,20,6485,2882,424,146,96,0,431,2873,80,2050,0,16136,22,1294,75,146,497,158,0,0,611,102,163,767,52,13522,3,261,1180,395,22686,103,31,168,68,4491,977,828,181,3448,7155,174,19,0,196,932,5,717,230,1389,2997,541,459,11010,0,462,490,0,2128,0,941,811,23,12,0,135,115,2057,2259,0,24,1121,0,1643,124399,11,49,0
NA,NA,NA,NA,NA,NA,NA,"GG01_002549816",0.551546391752577,0.551546391752577,44266,0,880,159,4,0,121,43,27,406,238,30,28,68,1220,0,0,140,0,75,0,16,0,230,0,113,789,61,114,18,22,8,63,302,1,0,178,68,2,173,167,65,16,19046,46,624,0,37,33,1215,22,4995,1,102,421,4123,364,6,525,1,860,51,0,0,26,16,272,0,0,1543,364,0,184,0,547,51,49,7,0,110,75,656,0,0,1288,7,17,58,0,42,7,83,131,0,338,64,14
"Animalia","Chordata","Teleostei","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus muelleri","GG01_000669749",0.964,0.826589595375723,351133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,351079,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus","GG01_000997684",1,0.873563218390805,560520,0,33410,0,0,0,12620,2669,0,0,23100,0,39225,0,0,0,0,0,0,0,0,0,0,8435,0,0,2125,0,19887,1,0,0,0,1454,0,0,0,0,0,24375,0,0,6704,0,0,0,0,44311,41746,0,0,45759,0,2986,0,32841,1,0,0,0,0,0,0,0,1330,0,0,0,0,0,0,21,0,175720,2,0,0,2215,0,0,0,4,0,0,0,0,0,1,0,0,1223,0,0,0,0,0,38355
"Animalia","Echinodermata","Echinoidea","Paxillosida","Astropectinidae","Psilaster","Psilaster cassiope","GG01_002030341",0.953,0.675675675675676,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei",NA,NA,NA,NA,"GG01_000652294",0.755681818181818,0.755681818181818,3189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Osmeriformes","Argentinidae","Argentina","Argentina silus","GG01_001723667",1,0.982456140350877,64542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5892,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18991,0,0,0,1,1948,0,32750,0,0,0,0,0,0,0,0,3349,1557,0,0
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GG01_001387950",0.942,0.942528735632184,2485281,8333,0,0,35107,23167,0,0,72759,0,0,0,24142,10321,13799,1,2,1,72157,1,10230,3,2,13226,31183,12720,0,11732,0,0,34349,43551,251967,1,123295,0,13819,1,1,26456,43565,0,0,0,0,37201,0,33479,47938,0,0,26238,0,24834,0,2,1,0,14053,0,0,0,0,0,0,25143,1,15348,1,100691,0,5,0,2644,89101,15637,156839,45798,0,7664,31194,61444,1,2,15073,82787,165347,19571,1,53638,195428,19317,12636,162388,128766,19178,1
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","GG01_000410040",0.924,0.898305084745763,753,6,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,53,0,0,10,0,2,0,0,0,71,1,12,44,60,0,0,6,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0,1,3,0,6,0,7,0,2,4,0,3,0,4,1,0,0,0,11,0,88,0,16,4,13,0,0,3,0,4,0,89,0,0,2,1,0,105,0,0,0,80,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Enchelyopus","Enchelyopus cimbrius","GG01_002505272",0.985,0.855491329479769,33122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33122,0,0,0,0,0,0,0,0,0,0,0,0
