"kingdom","phylum","class","order","family","genus","species"
"Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta","Melanitta americana"
"Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta","Melanitta deglandi"
"Animalia","Chordata","Aves","Anseriformes","Anatidae","Somateria","Somateria spp."
"Animalia","Chordata","Aves","Charadriiformes","Alcidae","Alca","Alca torda"
"Animalia","Chordata","Aves","Charadriiformes","Alcidae","Cepphus","Cepphus grylle"
"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris maritima"
"Animalia","Chordata","Aves","Galliformes","Phasianidae","Gallus","Gallus gallus"
"Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia adamsii"
"Animalia","Chordata","Chondrichthyes","Chimaeriformes","Chimaeridae","Chimaera","Chimaera monstrosa"
"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata"
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus"
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra hircus"
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis aries"
"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Alces","Alces alces"
"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Rangifer","Rangifer tarandus"
"Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"Animalia","Chordata","Mammalia","Carnivora","Phocidae","Halichoerus","Halichoerus grypus"
"Animalia","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca largha"
"Animalia","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina"
"Animalia","Chordata","Mammalia","Carnivora","Phocidae","Pusa","Pusa hispida"
"Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata"
"Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera physalus"
"Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Megaptera","Megaptera novaeangliae"
"Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Cephalorhynchus","Cephalorhynchus heavisidii"
"Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Lagenorhynchus","Lagenorhynchus albirostris"
"Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Lagenorhynchus","Lagenorhynchus obliquidens"
"Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Orcinus","Orcinus orca"
"Animalia","Chordata","Mammalia","Cetacea","Phocoenidae","Phocoena","Phocoena phocoena"
"Animalia","Chordata","Mammalia","Cetacea","Physeteridae","Physeter","Physeter catodon"
"Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
