Radius,Location,Fjord_acr,Station,Samp label,Distance,St_name
"3000",Balsfjord,BA,H,FISHDIV_BA_H,"1327",BA_H
"2000",Bergsfjord,BE,H,FISHDIV_BE_H,"2199",BE_H
"3000",Balsfjord,BA,H,FISHDIV_BA_H,"1345",BA_H
"2000",Bergsfjord,BE,H,FISHDIV_BE_H,"5685",BE_H
"2000",Bergsfjord,BE,H,FISHDIV_BE_H,"6416",BE_H
"3000",Balsfjord,BA,H,FISHDIV_BA_H,"2349",BA_H
"2000",Bergsfjord,BE,H,FISHDIV_BE_H,"5410",BE_H
"3000",Balsfjord,BA,H,FISHDIV_BA_H,"15291",BA_H
"3000",Balsfjord,BA,H,FISHDIV_BA_H,"6696",BA_H
"2000",Bergsfjord,BE,H,FISHDIV_BE_H,"5420",BE_H
"3000",Balsfjord,BA,H,FISHDIV_BA_H,"3312",BA_H
"3000",Balsfjord,BA,H,FISHDIV_BA_H,"18368",BA_H
"3000",Balsfjord,BA,H,FISHDIV_BA_H,"23786",BA_H
"3000",Balsfjord,BA,H,FISHDIV_BA_H,"19064",BA_H
"2000",Bergsfjord,BE,H,FISHDIV_BE_H,"5420",BE_H
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"3487",BA_J
"2000",Bergsfjord,BE,H,FISHDIV_BE_H,"4192",BE_H
"2000",Bergsfjord,BE,H,FISHDIV_BE_H,"4328",BE_H
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"4207",BA_J
"2000",Bergsfjord,BE,H,FISHDIV_BE_H,"4987",BE_H
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"5239",BA_J
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"2735",BE_A
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"3835",BE_A
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"3010",BA_J
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"751",BE_A
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"1420",BE_A
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"4895",BA_J
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"2120",BE_A
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"3114",BA_J
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"2242",BE_A
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"2425",BE_A
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"2772",BA_J
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"10017",BA_J
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"1957",BE_A
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"9766",BA_J
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"4727",BA_J
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"2029",BE_A
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"1844",BE_A
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"4573",BA_J
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"4178",BA_J
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"3078",BA_J
