Radius,Location,Fjord_acr,Station,Samp label,St_name,Distance
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,BE_C,"3721"
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,BE_C,"3188"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"6023"
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,BE_C,"2542"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"4535"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"7519"
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,BE_C,"2742"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"10080"
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,BE_C,"2579"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"2130"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"2422"
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,BE_C,"2225"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"2108"
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,BE_C,"5826"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"3297"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"2734"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"7210"
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,BE_C,"6920"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"2383"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"2979"
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,BE_C,"3734"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"2116"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"2320"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"1981"
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,BE_C,"1008"
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,BE_C,"1003"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"6057"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"6081"
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,BE_C,"1624"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"3979"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"4840"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"4146"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"3850"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"5520"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"4593"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"5161"
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,BE_C,"1113"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"4262"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"6744"
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,BE_C,"1161"
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,BE_C,"1094"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"2582"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"1165"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"3108"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"5891"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"5490"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"5697"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"6086"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"3733"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"1216"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"4478"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"3830"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"3539"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"1204"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"1152"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"2851"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"3230"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"4451"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"3677"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"1804"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"1328"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"1476"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"2670"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"3203"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"2362"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"1448"
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,BE_C,"1162"
"3000",Balsfjord,BA,B,FISHDIV_BA_B,BA_B,"2519"
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,BE_C,"4185"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"7781"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"6255"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"10405"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"33638"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"27516"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"1429"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"2259"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"1052"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"2610"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"2362"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"3296"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"1760"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"4298"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"2240"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"2233"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"2122"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"2111"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"32786"
"3000",Balsfjord,BA,A,FISHDIV_BA_A,BA_A,"2031"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"6215"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"1312"
"3000",Balsfjord,BA,C,FISHDIV_BA_C,BA_C,"2084"
"3000",Balsfjord,BA,C,FISHDIV_BA_C,BA_C,"2120"
"3000",Balsfjord,BA,C,FISHDIV_BA_C,BA_C,"1762"
"3000",Balsfjord,BA,C,FISHDIV_BA_C,BA_C,"1507"
"3000",Balsfjord,BA,C,FISHDIV_BA_C,BA_C,"10924"
"3000",Balsfjord,BA,C,FISHDIV_BA_C,BA_C,"9832"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"984"
"3000",Balsfjord,BA,C,FISHDIV_BA_C,BA_C,"3759"
"3000",Balsfjord,BA,C,FISHDIV_BA_C,BA_C,"4891"
"3000",Balsfjord,BA,C,FISHDIV_BA_C,BA_C,"2450"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"638"
"3000",Balsfjord,BA,C,FISHDIV_BA_C,BA_C,"2959"
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,BE_D,"576"
